team,season,position_group,total_cap_allocated
ATL,2023,RB,16.132479
ATL,2023,ST,8.893132999999999
ATL,2023,TE,19.105961
ATL,2023,WR,17.856236
ATL,2024,CB_S,47.802018000000004
ATL,2024,DL,41.79773
ATL,2024,LB,12.752761
ATL,2024,OL,64.567868
ATL,2024,QB,82.193059
ATL,2024,RB,10.286738
ATL,2024,ST,10.043333
ATL,2024,TE,14.465791000000001
ATL,2024,WR,30.231648
BAL,2016,CB_S,44.091922
BAL,2016,DL,8.154376
BAL,2016,LB,6.563033
BAL,2016,OL,19.140109
BAL,2016,QB,24.380833
BAL,2016,RB,2.52614
BAL,2016,ST,8.57
BAL,2016,TE,9.964025
BAL,2016,WR,14.469211
BAL,2017,CB_S,44.437246
BAL,2017,DL,5.159249
BAL,2017,LB,7.289267
BAL,2017,OL,31.55447
BAL,2017,QB,25.138333
BAL,2017,RB,7.835894
BAL,2017,ST,9.125
BAL,2017,TE,4.454025
BAL,2017,WR,18.290611
BAL,2018,CB_S,42.331652
BAL,2018,DL,14.923262
BAL,2018,LB,6.604342
BAL,2018,OL,22.927073
BAL,2018,QB,26.081246
BAL,2018,RB,3.15658
BAL,2018,ST,9.141333
BAL,2018,TE,5.819045
BAL,2018,WR,20.583021
BAL,2019,CB_S,71.92571799999999
BAL,2019,DL,19.240579
BAL,2019,LB,7.791333
BAL,2019,OL,26.989735
BAL,2019,QB,5.038085000000001
BAL,2019,RB,11.567414
BAL,2019,ST,10.54
BAL,2019,TE,9.758298
BAL,2019,WR,16.016752
BAL,2020,CB_S,82.536876
BAL,2020,DL,36.108462
BAL,2020,LB,7.856217
BAL,2020,OL,29.788792
BAL,2020,QB,0.867936
BAL,2020,RB,11.851773999999999
BAL,2020,ST,9.3478
BAL,2020,TE,10.130624
BAL,2020,WR,18.259102
BAL,2021,CB_S,55.473014
BAL,2021,DL,21.592095
BAL,2021,LB,9.559251
BAL,2021,OL,47.272471
BAL,2021,QB,1.3632
BAL,2021,RB,12.330041
BAL,2021,ST,8.943332999999999
BAL,2021,TE,22.628044
BAL,2021,WR,17.160062
BAL,2022,CB_S,67.80018
BAL,2022,DL,22.334827
BAL,2022,LB,15.081488
BAL,2022,OL,48.387138
BAL,2022,QB,1.3792
BAL,2022,RB,12.433274
BAL,2022,ST,10.389458
BAL,2022,TE,18.258215
BAL,2022,WR,13.606162
BAL,2023,CB_S,54.590336
BAL,2023,DL,13.795798
BAL,2023,LB,31.806545
BAL,2023,OL,48.75345
BAL,2023,QB,56.008
BAL,2023,RB,19.312493
BAL,2023,ST,9.719458
BAL,2023,TE,16.564304
BAL,2023,WR,28.755029999999998
BAL,2024,CB_S,57.053656000000004
BAL,2024,DL,38.611587
BAL,2024,LB,32.965192
BAL,2024,OL,25.083773
BAL,2024,QB,2.417097
BAL,2024,RB,17.5268
BAL,2024,ST,8.639458000000001
BAL,2024,TE,19.040138
BAL,2024,WR,22.975094
BLT,2013,CB_S,16.406304
