team,season,CB_S,DL,LB,OL,QB,RB,ST,TE,WR,total_cap,pct_CB_S,pct_DL,pct_LB,pct_OL,pct_QB,pct_RB,pct_ST,pct_TE,pct_WR,wins,games,point_diff,win_pct
ARI,2016,47.164287,25.541979,6.883084,27.28953,25.315,3.301091,4.038,6.095825,15.493175,161.12197100000003,0.2927241189223039,0.1585257357607672,0.04271971077116478,0.16937187293966255,0.15711699554618777,0.020488149316395834,0.025061758957752568,0.037833604952610705,0.09615805283315457,7,16,56.0,0.4375
ARI,2017,41.372422,13.267494,10.19254,28.016685000000003,27.2274,7.345287,8.2375,10.600625,17.512047,163.77200000000002,0.2526220721490853,0.08101198006985319,0.06223615758493514,0.1710712759201817,0.1662518623452116,0.0448506887624258,0.05029858583884913,0.06472794494785433,0.10692943238160367,8,16,-66.0,0.5
ARI,2018,33.790741,32.143043,10.99594,26.971332,28.52864,17.553576,6.1667000000000005,10.2516,20.961408,187.36298,0.18034907963141916,0.17155493043503045,0.05868790088629034,0.1439523005024792,0.1522640171500261,0.09368753635323264,0.032913118696126634,0.054715184397686245,0.1118759319477092,3,16,-200.0,0.1875
ARI,2019,34.26614,20.601633,9.958,32.406618,11.251994,16.959404,3.3027,4.109999999999999,23.262409,156.118898,0.2194874575658355,0.1319611735921938,0.06378471874686177,0.20757652286272224,0.07207323484950554,0.10863133302414163,0.02115503018731275,0.0263260889786706,0.14900444019275616,5,16,-81.0,0.3125
ARI,2020,49.16578,24.781836,27.090771,39.564858,10.437161,11.649851,5.7486,7.592966,43.922048,219.95387100000002,0.22352768685757748,0.11266833307971195,0.12316569322846788,0.17987797996062546,0.04745159042915866,0.0529649737330606,0.026135480016171206,0.034520720028609994,0.19968754266661665,8,16,43.0,0.5
ARI,2021,32.994715,32.37543,20.783614,43.788744,10.167761,4.188118,4.75,13.462866,40.009851,202.52109900000002,0.1629198891518952,0.1598620102293638,0.10262443815792249,0.21621818277808177,0.05020593434563576,0.020679909504145045,0.023454346354302567,0.06647636254432926,0.19755892693432398,11,18,60.0,0.6111111111111112
ARI,2022,38.783523,23.353879,11.898014,47.615034,53.15,10.180147,6.7137,15.860081,42.485599,250.03997700000002,0.15510928878384914,0.09340058049997339,0.0475844468662705,0.1904296847699678,0.21256600899463365,0.0407140774932962,0.026850506389224312,0.06343018100661559,0.1699152251961693,4,17,-109.0,0.23529411764705882
ARI,2023,38.292083,10.101867,10.588412,38.36256,50.397656000000005,11.784973,7.958166999999999,6.045915,14.014598,187.54623100000003,0.2041741004115406,0.053863343166837614,0.05645761017719411,0.2045498850893996,0.2687212413242258,0.0628376957359383,0.04243309480316881,0.03223693149024146,0.07472609780145353,4,17,-125.0,0.23529411764705882
ARI,2024,53.209758,30.715732,19.896145,28.865224,47.147656,16.186346,8.4499,4.258393,19.851885,228.58103900000006,0.23278290374732258,0.13437567759065086,0.08704197464077497,0.12628004547656288,0.20626232257173346,0.07081228640316048,0.03696675820954684,0.018629686078205282,0.08684834528204237,8,17,21.0,0.47058823529411764
ATL,2013,18.328155,18.028563,7.475142,15.867012,20.75,5.653798,3.20895,7.615146,15.714938,112.64170399999999,0.1627119827661698,0.1600522928878988,0.0663621175333072,0.1408626772904643,0.18421241212757222,0.050192759868050295,0.028488116621531227,0.06760503196933172,0.1395126089356745,4,16,-90.0,0.25
ATL,2014,13.239723,27.015549,1.5757880000000002,20.908592,21.857724,5.335856,6.45125,0.615146,16.170938,113.17056600000001,0.11698910297930293,0.23871532992067918,0.013924009180973789,0.18475291534726437,0.19313965435146802,0.04714879662261298,0.057004663208983154,0.005435565286472102,0.14288996310224336,6,16,-36.0,0.375
ATL,2015,14.037632,21.930195,6.340667,16.998315,21.301474,2.228449,6.609583,3.545146,23.955205,116.946666,0.12003447793885805,0.18752304576173212,0.05421845031477854,0.1453510012846369,0.18214691131083635,0.019055258916060077,0.05651792587229464,0.030314211779239607,0.20483871682156377,8,16,-6.0,0.5
